Date,Price,Open,High,Low,Vol.,Volume,Change %
2016-05-06,"25,701.60","25,563.78","25,726.03","25,451.44",,#VALUE!,0.54%
2016-05-05,"25,563.78","25,715.42","25,717.78","25,512.94",,#VALUE!,-0.59%
2016-05-04,"25,716.06","25,865.50","26,087.04","25,680.65",,#VALUE!,-0.58%
2016-05-03,"25,865.50","25,062.41","25,930.87","25,059.05",,#VALUE!,3.20%
2016-04-29,"25,062.41","24,957.08","25,164.14","24,951.08",,#VALUE!,0.42%
2016-04-28,"24,957.08","24,809.29","25,033.37","24,806.05",,#VALUE!,0.60%
2016-04-27,"24,809.29","24,823.86","24,852.71","24,749.15",,#VALUE!,-0.06%
2016-04-26,"24,824.84","24,773.51","24,874.01","24,760.49",,#VALUE!,0.24%
2016-04-25,"24,765.10","24,850.11","24,853.47","24,740.30",,#VALUE!,-0.34%
2016-04-22,"24,850.11","24,909.88","24,913.12","24,817.10",,#VALUE!,-0.24%
2016-04-21,"24,909.88","24,784.95","24,916.15","24,784.95",,#VALUE!,0.50%
2016-04-20,"24,784.95","24,659.17","24,788.39","24,659.17",,#VALUE!,0.65%
2016-04-19,"24,624.56","24,636.56","24,645.12","24,577.41",,#VALUE!,0.11%
2016-04-18,"24,596.34","24,719.27","24,719.27","24,576.59",,#VALUE!,-0.50%
2016-04-15,"24,719.44","24,746.04","24,760.37","24,613.51",,#VALUE!,-0.11%
2016-04-14,"24,746.16","24,637.91","24,746.16","24,621.09",,#VALUE!,0.44%
2016-04-13,"24,637.91","24,639.48","24,680.18","24,580.49",,#VALUE!,-0.01%
2016-04-12,"24,639.48","24,648.84","24,654.56","24,569.72",,#VALUE!,-0.04%
2016-04-11,"24,649.39","25,328.06","25,337.21","24,638.38",,#VALUE!,-2.68%
2016-04-08,"25,328.06","25,369.51","25,378.09","25,292.46",,#VALUE!,-0.16%
2016-04-07,"25,369.52","25,455.69","25,457.82","25,193.74",,#VALUE!,-0.37%
2016-04-06,"25,464.94","25,454.75","25,466.94","25,429.21",,#VALUE!,0.04%
2016-04-05,"25,454.75","25,349.07","25,455.82","25,338.30",,#VALUE!,0.42%
2016-04-04,"25,349.07","25,507.09","25,532.76","25,288.64",,#VALUE!,-0.62%
2016-04-01,"25,507.09","25,306.22","25,507.09","25,284.17",,#VALUE!,0.79%
2016-03-31,"25,306.22","25,145.28","25,351.81","25,141.91",,#VALUE!,0.64%
2016-03-30,"25,145.28","25,545.10","25,617.20","25,267.62",,#VALUE!,-0.52%
2016-03-29,"25,277.29","25,899.91","25,906.07","25,502.53",,#VALUE!,-2.40%
2016-03-24,"25,899.91","25,736.92","25,918.60","25,736.92",,#VALUE!,0.63%
2016-03-23,"25,736.92","26,020.40","26,026.48","25,687.65",,#VALUE!,-1.09%
2016-03-22,"26,020.40","25,902.95","26,067.87","25,898.92",,#VALUE!,0.45%
2016-03-21,"25,902.95","25,694.79","25,992.67","25,660.40",,#VALUE!,0.81%
2016-03-18,"25,694.79","25,679.87","25,694.79","25,512.71",,#VALUE!,0.06%
2016-03-17,"25,679.03","25,657.48","25,733.36","25,589.18",,#VALUE!,0.08%
2016-03-16,"25,657.48","25,744.20","25,745.11","25,639.33",,#VALUE!,-0.34%
2016-03-15,"25,745.13","25,814.03","25,908.20","25,714.06",,#VALUE!,-0.42%
2016-03-14,"25,853.58","25,988.40","26,250.34","25,806.99",,#VALUE!,-0.52%
2016-03-11,"25,988.40","25,923.77","26,093.31","25,922.04",,#VALUE!,0.25%
2016-03-10,"25,923.77","25,885.31","25,942.76","25,867.29",,#VALUE!,0.15%
